lead_id,timestamp,lead_source,pages_viewed,time_on_site_sec,visited_pricing_page,form_submission_count,email_opened_count,recency_visit_days,is_converted
L0070,2025-08-06 18:00:00,LinkedIn,13,498,1,0,1,0,1
L0071,2025-08-06 20:00:00,Referral,6,284,1,1,2,5,1
L0072,2025-08-06 22:00:00,Google,7,469,0,1,1,0,1
L0073,2025-08-07 00:00:00,Google,12,814,1,1,1,4,1
L0074,2025-08-07 02:00:00,WebsiteDirect,8,506,0,1,1,1,1
L0075,2025-08-07 04:00:00,Referral,12,500,1,1,2,2,1
L0076,2025-08-07 06:00:00,Referral,3,178,0,0,1,21,0
L0077,2025-08-07 08:00:00,Referral,9,526,0,1,2,5,0
L0078,2025-08-07 10:00:00,Google,6,325,0,1,0,3,0
L0079,2025-08-07 12:00:00,Facebook,6,344,0,1,3,8,0
L0080,2025-08-07 14:00:00,Google,8,436,1,2,1,1,1
L0081,2025-08-07 16:00:00,WebsiteDirect,8,466,0,2,2,3,1
L0082,2025-08-07 18:00:00,Referral,6,394,0,1,0,7,0
L0083,2025-08-07 20:00:00,Google,5,177,0,1,0,2,0
L0084,2025-08-07 22:00:00,Google,9,607,0,0,2,11,0
L0085,2025-08-08 00:00:00,Google,11,404,0,0,1,6,0
L0086,2025-08-08 02:00:00,Google,7,233,0,0,0,14,0
L0087,2025-08-08 04:00:00,Referral,9,709,1,2,1,29,1
L0088,2025-08-08 06:00:00,Referral,4,311,0,0,3,1,0
L0089,2025-08-08 08:00:00,WebsiteDirect,4,132,0,1,2,4,0
L0090,2025-08-08 10:00:00,Facebook,6,312,0,0,0,3,0
L0091,2025-08-08 12:00:00,Google,4,157,0,0,1,1,0
L0092,2025-08-08 14:00:00,Referral,10,542,1,0,0,16,1
L0093,2025-08-08 16:00:00,Referral,10,715,1,0,2,14,0
L0094,2025-08-08 18:00:00,Facebook,9,697,0,1,0,6,0
L0095,2025-08-08 20:00:00,Referral,15,925,1,1,2,7,1
L0096,2025-08-08 22:00:00,Facebook,7,333,0,0,2,0,0
L0097,2025-08-09 00:00:00,Facebook,13,782,1,1,1,8,1
L0098,2025-08-09 02:00:00,Facebook,5,228,1,0,2,15,0
L0099,2025-08-09 04:00:00,Google,10,754,0,1,1,8,0
L0100,2025-08-09 06:00:00,Google,7,514,0,1,0,3,0
L0101,2025-08-09 08:00:00,Google,11,637,0,1,1,11,1
L0102,2025-08-09 10:00:00,Referral,7,323,0,0,3,4,0
L0103,2025-08-09 12:00:00,Google,10,446,0,2,1,7,1
L0104,2025-08-09 14:00:00,Facebook,9,285,1,0,2,6,1
L0105,2025-08-09 16:00:00,WebsiteDirect,12,849,1,0,0,4,1
L0106,2025-08-09 18:00:00,Google,5,262,0,1,0,12,0
L0107,2025-08-09 20:00:00,Facebook,6,277,0,1,4,21,0
L0108,2025-08-09 22:00:00,Referral,8,428,1,1,2,0,1
L0109,2025-08-10 00:00:00,Google,11,780,0,0,2,27,0
L0110,2025-08-10 02:00:00,Google,5,181,1,0,3,7,0
L0111,2025-08-10 04:00:00,Google,6,437,0,2,2,12,1
L0112,2025-08-10 06:00:00,Google,7,524,1,1,1,19,1
L0113,2025-08-10 08:00:00,WebsiteDirect,10,773,1,0,3,6,1
L0114,2025-08-10 10:00:00,WebsiteDirect,7,349,0,0,1,18,0
L0115,2025-08-10 12:00:00,Referral,8,326,0,2,0,1,1
L0116,2025-08-10 14:00:00,WebsiteDirect,9,438,0,0,1,1,0
L0117,2025-08-10 16:00:00,WebsiteDirect,7,326,0,0,2,10,0
L0118,2025-08-10 18:00:00,Google,7,271,0,0,2,20,0
L0119,2025-08-10 20:00:00,WebsiteDirect,8,482,0,1,2,22,0
L0120,2025-08-10 22:00:00,Facebook,11,592,0,1,0,10,0
L0121,2025-08-11 00:00:00,WebsiteDirect,12,879,1,0,0,7,1
L0122,2025-08-11 02:00:00,WebsiteDirect,8,252,0,0,2,4,0
L0123,2025-08-11 04:00:00,Google,11,684,1,1,2,39,0
L0124,2025-08-11 06:00:00,Google,5,340,0,1,3,3,1
L0125,2025-08-11 08:00:00,Google,10,679,0,0,2,13,0
L0126,2025-08-11 10:00:00,Facebook,9,668,0,0,2,7,0
L0127,2025-08-11 12:00:00,WebsiteDirect,9,598,0,0,2,9,0
L0128,2025-08-11 14:00:00,WebsiteDirect,7,534,1,1,1,5,1
L0129,2025-08-11 16:00:00,Google,9,419,0,1,1,33,0
L0130,2025-08-11 18:00:00,Facebook,12,661,1,0,2,8,1
L0131,2025-08-11 20:00:00,Facebook,7,214,1,0,0,27,0
L0132,2025-08-11 22:00:00,Google,10,303,1,0,4,0,1
L0133,2025-08-12 00:00:00,Google,7,294,1,1,0,8,1
L0134,2025-08-12 02:00:00,Google,4,140,0,0,1,12,0
L0135,2025-08-12 04:00:00,WebsiteDirect,9,387,1,0,3,13,1
L0136,2025-08-12 06:00:00,Google,4,155,0,2,1,23,0
L0137,2025-08-12 08:00:00,Facebook,7,219,0,0,0,0,1
L0138,2025-08-12 10:00:00,Referral,15,1131,1,0,0,0,1
L0139,2025-08-12 12:00:00,Facebook,10,304,0,2,2,6,1
L0140,2025-08-12 14:00:00,LinkedIn,5,334,0,2,0,0,0
L0141,2025-08-12 16:00:00,LinkedIn,7,263,0,0,2,36,0
L0142,2025-08-12 18:00:00,Google,3,226,0,0,0,2,0
L0143,2025-08-12 20:00:00,Facebook,3,223,0,0,4,6,0
L0144,2025-08-12 22:00:00,Google,8,501,1,1,0,0,1
L0145,2025-08-13 00:00:00,Google,9,572,0,2,1,7,0
L0146,2025-08-13 02:00:00,Google,8,242,0,0,3,4,0
L0147,2025-08-13 04:00:00,Referral,4,316,0,2,2,0,0
L0148,2025-08-13 06:00:00,Facebook,6,443,0,0,2,4,0
L0149,2025-08-13 08:00:00,Google,7,523,0,0,2,4,0
L0150,2025-08-13 10:00:00,Google,7,440,1,0,2,45,0
L0151,2025-08-13 12:00:00,WebsiteDirect,4,188,1,1,1,2,1
L0152,2025-08-13 14:00:00,Google,5,373,0,1,0,7,0
L0153,2025-08-13 16:00:00,Google,13,579,0,2,1,43,0
L0154,2025-08-13 18:00:00,Facebook,11,639,1,1,1,15,1
L0155,2025-08-13 20:00:00,LinkedIn,4,139,0,0,1,50,0
L0156,2025-08-13 22:00:00,Google,8,608,0,0,1,34,0
L0157,2025-08-14 00:00:00,Referral,6,222,0,0,1,6,0
L0158,2025-08-14 02:00:00,Referral,4,164,1,0,1,11,1
L0159,2025-08-14 04:00:00,Google,5,289,0,1,3,1,1
L0160,2025-08-14 06:00:00,Referral,12,818,0,0,2,5,0
L0161,2025-08-14 08:00:00,Facebook,9,548,1,1,6,16,1
L0162,2025-08-14 10:00:00,Referral,7,291,0,2,4,7,1
L0163,2025-08-14 12:00:00,Referral,11,330,0,0,1,12,0
L0164,2025-08-14 14:00:00,Facebook,10,678,0,1,1,13,0
L0165,2025-08-14 16:00:00,Google,11,871,0,0,1,2,0
L0166,2025-08-14 18:00:00,WebsiteDirect,13,916,0,0,2,20,0
L0167,2025-08-14 20:00:00,Google,9,477,0,0,1,6,0
L0168,2025-08-14 22:00:00,Google,7,526,0,0,7,2,0
L0169,2025-08-15 00:00:00,Google,5,252,0,0,0,20,0
L0170,2025-08-15 02:00:00,Facebook,8,449,1,0,3,5,0
L0171,2025-08-15 04:00:00,Referral,9,484,0,1,1,13,0
L0172,2025-08-15 06:00:00,Google,6,314,0,0,1,7,0
L0173,2025-08-15 08:00:00,Facebook,7,481,1,0,1,4,1
L0174,2025-08-15 10:00:00,Google,7,394,0,0,1,16,0
L0175,2025-08-15 12:00:00,Referral,10,458,1,0,1,8,1
L0176,2025-08-15 14:00:00,Google,10,429,1,0,1,4,1
L0177,2025-08-15 16:00:00,Referral,6,191,0,0,1,1,0
L0178,2025-08-15 18:00:00,Facebook,4,236,0,1,0,22,0
L0179,2025-08-15 20:00:00,WebsiteDirect,4,165,0,0,2,0,0
L0180,2025-08-15 22:00:00,Google,4,149,0,0,1,19,0
L0181,2025-08-16 00:00:00,Google,9,564,0,1,1,4,0
L0182,2025-08-16 02:00:00,Google,7,448,0,1,0,10,0
L0183,2025-08-16 04:00:00,WebsiteDirect,11,743,0,0,1,25,0
L0184,2025-08-16 06:00:00,WebsiteDirect,8,441,0,0,0,1,0
L0185,2025-08-16 08:00:00,Google,12,896,0,1,3,8,1
L0186,2025-08-16 10:00:00,Referral,10,768,0,2,4,14,1
L0187,2025-08-16 12:00:00,WebsiteDirect,4,281,1,0,1,14,0
L0188,2025-08-16 14:00:00,Facebook,3,185,0,0,0,7,0
L0189,2025-08-16 16:00:00,Facebook,5,225,0,0,1,9,0
L0190,2025-08-16 18:00:00,Google,10,791,0,0,2,14,0
L0191,2025-08-16 20:00:00,Google,5,218,0,0,0,18,0
L0192,2025-08-16 22:00:00,WebsiteDirect,4,160,0,1,0,14,0
L0193,2025-08-17 00:00:00,WebsiteDirect,10,521,0,0,2,4,0
L0194,2025-08-17 02:00:00,Referral,6,197,0,0,2,57,0
L0195,2025-08-17 04:00:00,Google,10,789,1,1,2,5,1
L0196,2025-08-17 06:00:00,Google,11,653,1,1,1,0,1
L0197,2025-08-17 08:00:00,Referral,5,289,0,0,2,4,0
L0198,2025-08-17 10:00:00,WebsiteDirect,8,502,0,0,2,1,0
L0199,2025-08-17 12:00:00,WebsiteDirect,6,329,0,0,2,1,0
L0200,2025-08-17 14:00:00,Referral,9,284,1,1,1,3,1
L0201,2025-08-17 16:00:00,Referral,11,666,0,0,2,0,0
L0202,2025-08-17 18:00:00,Google,13,855,1,0,1,11,1
L0203,2025-08-17 20:00:00,Google,4,203,0,1,3,0,0
L0204,2025-08-17 22:00:00,WebsiteDirect,8,542,0,0,1,2,0
L0205,2025-08-18 00:00:00,Referral,5,206,0,1,2,0,0
L0206,2025-08-18 02:00:00,Google,11,451,1,1,0,0,1
L0207,2025-08-18 04:00:00,Google,8,304,1,1,0,3,1
L0208,2025-08-18 06:00:00,Referral,3,145,0,0,3,8,0
L0209,2025-08-18 08:00:00,Google,10,723,0,1,3,33,0
L0210,2025-08-18 10:00:00,Google,12,856,0,0,0,20,0
L0211,2025-08-18 12:00:00,Facebook,7,343,0,0,1,20,0
L0212,2025-08-18 14:00:00,Referral,8,475,0,1,1,1,0
L0213,2025-08-18 16:00:00,Referral,2,132,0,3,3,3,1
L0214,2025-08-18 18:00:00,Google,6,252,0,0,1,0,0
L0215,2025-08-18 20:00:00,Referral,2,76,1,1,1,15,1
L0216,2025-08-18 22:00:00,Google,11,864,0,0,1,0,0
L0217,2025-08-19 00:00:00,Google,11,669,1,0,3,8,1
L0218,2025-08-19 02:00:00,Referral,8,632,1,0,4,2,1
L0219,2025-08-19 04:00:00,Referral,14,656,0,0,0,2,0
L0220,2025-08-19 06:00:00,WebsiteDirect,13,846,1,0,1,46,0
L0221,2025-08-19 08:00:00,Referral,2,82,0,1,1,14,0
L0222,2025-08-19 10:00:00,Facebook,12,516,1,0,0,18,1
L0223,2025-08-19 12:00:00,Google,7,389,0,0,0,8,0
L0224,2025-08-19 14:00:00,Facebook,9,413,0,0,2,20,0
L0225,2025-08-19 16:00:00,Google,6,230,0,0,1,10,0
L0226,2025-08-19 18:00:00,Google,8,345,0,1,2,29,0
L0227,2025-08-19 20:00:00,LinkedIn,9,286,0,0,2,3,0
L0228,2025-08-19 22:00:00,Facebook,7,456,0,0,1,9,0
L0229,2025-08-20 00:00:00,WebsiteDirect,8,436,0,0,1,11,0
L0230,2025-08-20 02:00:00,Referral,6,208,0,3,0,4,1
L0231,2025-08-20 04:00:00,Referral,7,270,1,1,1,21,0
L0232,2025-08-20 06:00:00,Facebook,10,351,1,0,0,39,0
L0233,2025-08-20 08:00:00,Facebook,9,545,0,2,2,6,0
L0234,2025-08-20 10:00:00,Facebook,9,312,1,0,6,4,1
L0235,2025-08-20 12:00:00,Google,2,135,0,0,2,6,0
L0236,2025-08-20 14:00:00,Referral,6,186,0,0,1,19,0
L0237,2025-08-20 16:00:00,Google,9,382,0,0,1,10,0
L0238,2025-08-20 18:00:00,Google,4,298,0,2,5,0,1
L0239,2025-08-20 20:00:00,Referral,13,857,1,1,0,7,1
L0240,2025-08-20 22:00:00,Google,8,269,0,1,4,0,1
L0241,2025-08-21 00:00:00,WebsiteDirect,11,781,1,0,1,15,1
L0242,2025-08-21 02:00:00,LinkedIn,6,327,1,0,0,3,1
L0243,2025-08-21 04:00:00,WebsiteDirect,8,578,0,0,0,6,0
L0244,2025-08-21 06:00:00,Facebook,7,420,0,2,0,16,0
L0245,2025-08-21 08:00:00,Google,11,705,1,1,1,0,1
L0246,2025-08-21 10:00:00,WebsiteDirect,8,637,1,1,2,1,1
L0247,2025-08-21 12:00:00,Facebook,11,457,0,0,0,5,0
L0248,2025-08-21 14:00:00,LinkedIn,2,122,0,0,1,2,0
L0249,2025-08-21 16:00:00,LinkedIn,5,265,0,1,0,4,0
L0250,2025-08-21 18:00:00,WebsiteDirect,5,159,0,1,0,60,0
L0251,2025-08-21 20:00:00,Google,6,184,0,2,1,17,0
L0252,2025-08-21 22:00:00,Facebook,12,431,0,0,2,21,0
L0253,2025-08-22 00:00:00,WebsiteDirect,5,312,1,1,2,27,0
L0254,2025-08-22 02:00:00,Google,7,408,0,1,1,4,0
L0255,2025-08-22 04:00:00,Google,7,403,1,0,0,3,0
L0256,2025-08-22 06:00:00,Facebook,13,410,1,1,4,2,1
L0257,2025-08-22 08:00:00,WebsiteDirect,9,481,1,0,4,17,0
L0258,2025-08-22 10:00:00,Referral,8,609,0,0,1,11,0
L0259,2025-08-22 12:00:00,Facebook,8,399,1,1,1,2,1
L0260,2025-08-22 14:00:00,Google,4,244,0,0,1,4,0
L0261,2025-08-22 16:00:00,Referral,10,689,1,0,1,7,1
L0262,2025-08-22 18:00:00,LinkedIn,13,899,0,0,2,7,0
L0263,2025-08-22 20:00:00,Google,6,335,0,0,0,21,0
L0264,2025-08-22 22:00:00,Facebook,9,656,1,0,1,4,0
L0265,2025-08-23 00:00:00,WebsiteDirect,9,446,1,1,1,23,1
L0266,2025-08-23 02:00:00,Referral,9,669,0,0,0,5,0
L0267,2025-08-23 04:00:00,Referral,3,126,0,1,0,13,0
L0268,2025-08-23 06:00:00,Referral,8,352,0,0,3,26,0
L0269,2025-08-23 08:00:00,Facebook,9,293,0,0,2,23,0
L0270,2025-08-23 10:00:00,Google,7,488,1,0,1,0,1
L0271,2025-08-23 12:00:00,WebsiteDirect,6,305,0,1,0,2,0
L0272,2025-08-23 14:00:00,WebsiteDirect,4,165,1,0,0,6,0
L0273,2025-08-23 16:00:00,WebsiteDirect,16,665,1,1,0,5,1
L0274,2025-08-23 18:00:00,WebsiteDirect,11,825,1,0,1,10,0
L0275,2025-08-23 20:00:00,Facebook,9,645,0,0,0,28,0
L0276,2025-08-23 22:00:00,Facebook,7,403,0,1,1,1,1
L0277,2025-08-24 00:00:00,Referral,13,790,0,1,0,6,1
L0278,2025-08-24 02:00:00,Referral,4,214,0,1,1,2,0
L0279,2025-08-24 04:00:00,Referral,10,495,1,0,2,22,0
L0280,2025-08-24 06:00:00,Referral,8,606,0,1,1,33,0
L0281,2025-08-24 08:00:00,WebsiteDirect,8,290,0,0,3,6,0
L0282,2025-08-24 10:00:00,Google,5,254,0,0,4,1,0
L0283,2025-08-24 12:00:00,Facebook,9,425,0,0,3,15,0
L0284,2025-08-24 14:00:00,Google,5,274,0,1,1,11,0
L0285,2025-08-24 16:00:00,Facebook,6,317,0,1,1,4,0
L0286,2025-08-24 18:00:00,Google,8,447,1,0,2,21,1
L0287,2025-08-24 20:00:00,Facebook,5,184,0,0,2,37,0
L0288,2025-08-24 22:00:00,Facebook,13,723,1,2,1,8,1
L0289,2025-08-25 00:00:00,Google,11,463,1,1,0,8,1
L0290,2025-08-25 02:00:00,Facebook,9,352,1,1,2,3,1
L0291,2025-08-25 04:00:00,Google,6,199,0,2,0,8,1
L0292,2025-08-25 06:00:00,Google,9,613,0,0,2,5,0
L0293,2025-08-25 08:00:00,WebsiteDirect,9,462,1,0,0,3,0
L0294,2025-08-25 10:00:00,Facebook,3,183,0,0,2,0,0
L0295,2025-08-25 12:00:00,Google,7,464,0,1,3,2,1
L0296,2025-08-25 14:00:00,Facebook,8,511,0,1,5,2,1
L0297,2025-08-25 16:00:00,Referral,8,428,1,0,1,7,1
L0298,2025-08-25 18:00:00,Google,7,345,1,1,2,9,1
L0299,2025-08-25 20:00:00,Referral,6,292,0,1,1,9,0
L0300,2025-08-25 22:00:00,Google,5,310,0,1,0,4,0
L0301,2025-08-26 00:00:00,Google,10,547,1,0,2,5,1
L0302,2025-08-26 02:00:00,Facebook,5,362,0,1,1,17,0
L0303,2025-08-26 04:00:00,Facebook,8,589,0,0,1,6,0
L0304,2025-08-26 06:00:00,Referral,8,308,0,0,0,44,0
L0305,2025-08-26 08:00:00,Referral,8,294,0,0,1,5,0
L0306,2025-08-26 10:00:00,LinkedIn,6,369,0,0,2,10,0
L0307,2025-08-26 12:00:00,Facebook,8,360,0,2,2,0,1
L0308,2025-08-26 14:00:00,Google,7,216,0,0,1,10,0
L0309,2025-08-26 16:00:00,Referral,10,744,0,1,1,19,0
L0310,2025-08-26 18:00:00,Google,7,289,0,1,0,28,0
L0311,2025-08-26 20:00:00,Facebook,8,611,0,1,1,59,0
L0312,2025-08-26 22:00:00,Google,9,592,1,1,2,3,1
L0313,2025-08-27 00:00:00,Google,8,545,0,0,1,8,0
L0314,2025-08-27 02:00:00,LinkedIn,6,240,0,1,2,5,0
L0315,2025-08-27 04:00:00,WebsiteDirect,9,375,1,0,2,8,1
L0316,2025-08-27 06:00:00,Referral,7,392,0,0,2,1,0
L0317,2025-08-27 08:00:00,Facebook,8,308,0,0,1,19,0
L0318,2025-08-27 10:00:00,Google,11,497,0,2,0,24,1
L0319,2025-08-27 12:00:00,Google,7,322,0,1,3,5,0
L0320,2025-08-27 14:00:00,Google,9,341,1,1,5,3,1
L0321,2025-08-27 16:00:00,Facebook,8,322,1,0,0,1,1
L0322,2025-08-27 18:00:00,Referral,6,416,0,0,0,11,0
L0323,2025-08-27 20:00:00,Referral,6,230,0,0,1,3,0
L0324,2025-08-27 22:00:00,Google,14,439,0,0,2,24,0
L0325,2025-08-28 00:00:00,LinkedIn,12,737,0,0,1,11,0
L0326,2025-08-28 02:00:00,Referral,5,393,0,1,2,10,0
L0327,2025-08-28 04:00:00,Facebook,12,558,1,1,4,8,1
L0328,2025-08-28 06:00:00,Referral,8,287,0,2,1,0,1
L0329,2025-08-28 08:00:00,Facebook,7,409,0,2,1,26,0
L0330,2025-08-28 10:00:00,Google,4,301,0,0,2,9,0
L0331,2025-08-28 12:00:00,Facebook,5,346,0,0,2,51,0
L0332,2025-08-28 14:00:00,Referral,5,305,0,0,2,7,0
L0333,2025-08-28 16:00:00,Google,4,183,0,0,1,12,0
L0334,2025-08-28 18:00:00,Google,7,399,0,1,2,0,0
L0335,2025-08-28 20:00:00,Google,9,311,0,0,0,9,0
L0336,2025-08-28 22:00:00,Google,7,447,0,0,0,14,0
L0337,2025-08-29 00:00:00,WebsiteDirect,6,397,0,1,3,15,0
L0338,2025-08-29 02:00:00,Referral,7,547,0,0,5,14,0
L0339,2025-08-29 04:00:00,Facebook,4,172,1,0,2,2,0
L0340,2025-08-29 06:00:00,Google,9,278,0,3,0,37,0
L0341,2025-08-29 08:00:00,Facebook,10,572,0,0,3,53,0
L0342,2025-08-29 10:00:00,Facebook,11,718,1,1,0,0,1
L0343,2025-08-29 12:00:00,Google,11,764,1,0,0,27,0
L0344,2025-08-29 14:00:00,Facebook,8,317,0,0,0,3,0
L0345,2025-08-29 16:00:00,Facebook,10,430,0,0,1,11,0
L0346,2025-08-29 18:00:00,Referral,9,500,1,1,3,4,1
L0347,2025-08-29 20:00:00,Referral,8,372,0,1,2,34,0
L0348,2025-08-29 22:00:00,Google,3,219,0,0,0,1,0
L0349,2025-08-30 00:00:00,Facebook,5,268,0,0,0,6,0
L0350,2025-08-30 02:00:00,Referral,7,489,0,1,0,5,1
L0351,2025-08-30 04:00:00,Facebook,7,413,0,0,0,3,0
L0352,2025-08-30 06:00:00,WebsiteDirect,8,549,0,0,1,10,0
L0353,2025-08-30 08:00:00,Referral,5,233,1,0,4,1,1
L0354,2025-08-30 10:00:00,Google,7,500,0,2,1,12,1
L0355,2025-08-30 12:00:00,Google,7,306,0,1,4,39,0
L0356,2025-08-30 14:00:00,Referral,7,401,0,0,0,16,0
L0357,2025-08-30 16:00:00,Google,7,284,1,1,0,19,1
L0358,2025-08-30 18:00:00,Facebook,10,537,0,0,3,4,0
L0359,2025-08-30 20:00:00,WebsiteDirect,7,321,0,0,5,3,1
L0360,2025-08-30 22:00:00,Facebook,9,390,0,0,1,7,0
L0361,2025-08-31 00:00:00,Facebook,7,548,1,1,0,0,1
L0362,2025-08-31 02:00:00,Referral,5,190,0,1,2,29,0
L0363,2025-08-31 04:00:00,Facebook,8,554,0,0,2,1,1
L0364,2025-08-31 06:00:00,Facebook,12,950,0,0,1,23,0
L0365,2025-08-31 08:00:00,WebsiteDirect,4,123,0,0,2,0,0
L0366,2025-08-31 10:00:00,Facebook,9,584,0,2,1,17,1
L0367,2025-08-31 12:00:00,LinkedIn,7,298,0,2,1,1,1
L0368,2025-08-31 14:00:00,WebsiteDirect,9,288,1,1,0,0,1
L0369,2025-08-31 16:00:00,Google,10,501,1,0,0,12,0
L0370,2025-08-31 18:00:00,Google,6,460,0,0,2,3,0
L0371,2025-08-31 20:00:00,Google,11,336,1,0,4,12,1
L0372,2025-08-31 22:00:00,Google,6,356,0,0,1,8,0
L0373,2025-09-01 00:00:00,Google,9,495,0,0,2,1,0
L0374,2025-09-01 02:00:00,Referral,9,663,1,0,1,26,0
L0375,2025-09-01 04:00:00,Google,7,239,0,2,0,6,0
L0376,2025-09-01 06:00:00,Google,7,448,0,0,0,13,0
L0377,2025-09-01 08:00:00,WebsiteDirect,8,512,0,0,3,6,0
L0378,2025-09-01 10:00:00,Google,12,761,1,0,2,9,1
L0379,2025-09-01 12:00:00,WebsiteDirect,7,539,0,0,1,3,0
L0380,2025-09-01 14:00:00,Google,4,284,0,0,0,2,0
L0381,2025-09-01 16:00:00,Google,7,224,1,0,2,7,0
L0382,2025-09-01 18:00:00,Referral,7,374,0,1,0,5,0
L0383,2025-09-01 20:00:00,Referral,7,349,0,0,0,4,0
L0384,2025-09-01 22:00:00,WebsiteDirect,5,227,1,0,1,11,0
L0385,2025-09-02 00:00:00,Referral,7,367,0,1,2,11,1
L0386,2025-09-02 02:00:00,WebsiteDirect,6,295,0,0,2,0,0
L0387,2025-09-02 04:00:00,Google,7,361,0,0,0,4,0
